branch,tensor,numel,mean_angular_step,final_cumulative_angular_step
cyclic,blocks.6.mlp.fc1.weight,147456,0.0038054578122349806,3.3297755857056472
cyclic,blocks.6.mlp.fc2.bias,192,0.005763405660233809,5.042979952704627
cyclic,blocks.6.mlp.fc2.weight,147456,0.004372573388707106,3.826001715118764
cyclic,blocks.7.attn.proj.bias,192,0.005320033418812869,4.655029241461307
cyclic,blocks.7.attn.proj.weight,36864,0.003890822633335852,3.404469804168912
cyclic,blocks.7.attn.qkv.bias,576,0.006313231686263163,5.524077725480311
cyclic,blocks.7.attn.qkv.weight,110592,0.004152712752643387,3.6336236585630095
cyclic,blocks.7.mlp.fc1.bias,768,0.0035248498699095064,3.084243636170868
cyclic,blocks.7.mlp.fc1.weight,147456,0.0037979667776795976,3.323220930469688
cyclic,blocks.7.mlp.fc2.bias,192,0.005093928150965647,4.457187132094987
cyclic,blocks.7.mlp.fc2.weight,147456,0.004382322453793883,3.8345321470696954
cyclic,blocks.8.attn.proj.bias,192,0.0049602602419908555,4.340227711742045
cyclic,blocks.8.attn.proj.weight,36864,0.0041008364525623045,3.5882318959920667
cyclic,blocks.8.attn.qkv.bias,576,0.0038623989642198047,3.379599093692377
cyclic,blocks.8.attn.qkv.weight,110592,0.004023976639212455,3.5209795593109448
cyclic,blocks.8.mlp.fc1.bias,768,0.0033895681004837623,2.965872087923344
cyclic,blocks.8.mlp.fc1.weight,147456,0.0036692900030008404,3.21062875262578
cyclic,blocks.8.mlp.fc2.bias,192,0.004599224756006095,4.024321661505383
cyclic,blocks.8.mlp.fc2.weight,147456,0.0042281590839182166,3.6996391984284855
cyclic,blocks.9.attn.proj.bias,192,0.004526602317645558,3.960777027939912
cyclic,blocks.9.attn.proj.weight,36864,0.004099768144677203,3.5872971265926026
cyclic,blocks.9.attn.qkv.bias,576,0.006716473555524919,5.876914361084346
cyclic,blocks.9.attn.qkv.weight,110592,0.004093015518571595,3.581388578750193
cyclic,blocks.9.mlp.fc1.bias,768,0.003102660995542151,2.714828371099429
cyclic,blocks.9.mlp.fc1.weight,147456,0.0037053248667756416,3.242159258428728
cyclic,blocks.9.mlp.fc2.bias,192,0.004307056421946149,3.768674369202927
cyclic,blocks.9.mlp.fc2.weight,147456,0.004273690824596425,3.7394794715219177
cyclic,cls_token,192,0.002911515569846494,2.547576123615727
cyclic,patch_embed.proj.bias,192,0.001239244318334334,1.0843387785425875
cyclic,patch_embed.proj.weight,36864,0.003249462494626587,2.843279682798311
cyclic,pos_embed,12480,0.0015147121465498299,1.3253731282311492
linear_down,blocks.0.attn.proj.bias,192,0.0031768626122335776,2.7797547857044265
linear_down,blocks.0.attn.proj.weight,36864,0.0043315022388206535,3.790064458968118
linear_down,blocks.0.attn.qkv.bias,576,0.0015497642824691912,1.3560437471605835
linear_down,blocks.0.attn.qkv.weight,110592,0.004610239519937172,4.033959579945076
linear_down,blocks.0.mlp.fc1.bias,768,0.004182386505883133,3.6595881926477887
linear_down,blocks.0.mlp.fc1.weight,147456,0.003757026385848496,3.2873980876174755
linear_down,blocks.0.mlp.fc2.bias,192,0.004466343146615741,3.908050253288821
linear_down,blocks.0.mlp.fc2.weight,147456,0.0037558512258276397,3.2863698225992266
